Repeat last substitution	&
Increment/decrement number under cursor	Ctrl-a increments, Ctrl-x decrements (see 'nrformats')
Run one Normal-mode command from Insert mode	Ctrl-o
Insert register contents in Insert mode	Ctrl-r {register}
Insert register literally (avoid indent issues)	Ctrl-r Ctrl-p {register}
Remap Caps Lock key?	Open question
Delete previous character in Insert mode	Ctrl-h
Delete previous word in Insert mode	Ctrl-w
Delete to start of line in Insert mode	Ctrl-u
Enter Select mode	Ctrl-g
Reselect previous Visual selection	gv
Visual mode types	v = charwise, V = linewise, Ctrl-v = blockwise; Esc returns to Normal
Next misspelling (spell check)	]s
Previous misspelling (spell check)	[s
Spell suggestions for word under cursor	z=
Add word to personal dictionary (spellfile)	zg
Mark word as wrong for spell check	zw
Personal spellfile location	~/.config/nvim/spell/*.add
Vimdiff take change from other buffer	:diffget (or :dg)
Vimdiff put change into other buffer	:diffput (or :dp)
Vimdiff apply entire diff hunk	cursor in hunk then :diffget
Vimdiff take from specific buffer	:diffget {bufnr} (see :ls)
List buffer numbers	:ls
Vimdiff mappings (if enabled)	do = :diffget, dp = :diffput
