#separator:tab
#html:true
Open help for keyword	:help keyword
Save file as	:saveas file
Close Current Pane (but don't close vim)	:close<br><br>NOTE: :q or ZZ also works but closes vim too
Open man page for word under cursor	K
Move Cursor Left	h
Move Cursor Down	j
Move Cursor Up	k
Move Cursor Right	l
Move to top of screen	H
Move to middle of screen	M
Move to bottom of screen	L
Jump forwards to the start of a word	w
Jump forwards to the start of a word (words can contain punctuation)	W
Jump forwards to the end of a word	e
Jump forwards to the end of a word (words can contain punctuation)	E
Jump backwards to the start of a word	b
Jump backwards to the start of a word (words can contain punctuation)	B
Move to matching character (default supported pairs: '()', '{}', '[]' - use :h matchpairs in vim for more info)	%
Jump to the start of the line	0
Jump to the first non-blank character of the line	^
Jump to the end of the line	$
Jump to the last non-blank character of the line	g_
Go the first line of the document	gg
Go to the last line of the document	G
Go to line 5	5G
Jump to the next occurrence of character x	fx
Jump to before next occurrence of character x	tx
Jump to previous occurence of character x	Fx
Jump to after previous occurrence of character x	Tx
Repeat previous f, t, F, or T movement	;
Repeat previous f, t, F, or T movement, backwards	,
Jump to next paragraph (or function/block, when editing code)	}
Jump to previous paragraph (or function/block, when editing code)	{
Center cursor on screen	zz
Move screen down one line (without moving cursor)	Ctrl + e
Move screen up one line (without moving cursor)	Ctrl + y
Move back one full screen	Ctrl + b
Move forward one full screen	Ctrl + f
Move forward 1/2 a screen	Ctrl + d
Move back 1/2 a screen	Ctrl + u
Insert before the cursor	i
Insert at the beginning of the line	I
Insert (append) after the cursor	a
Insert (append) at the end of the line	A
Append (open) a new line below the current line	o
Append (open) a new line above the current line	O
Insert (append) at the end of the word	ea
Exit insert mode	Esc
Replace a single character	r
Join line below to the current one with one space in between	J
Join line below to the current one without space in between	gJ
Reflow Paragraph	gwip
Change (replace) entire line<br />	cc
Change (replace) to the end of the line	c$ (or C)
Change (replace) entire word	ciw
Change (replace) to the end of the word	cw
Delete character and substitute text	s
Delete line and substitute text (same as cc)	S
Transpose two letters (delete and paste)	xp
Undo	u
Redo	Ctrl + r
Repeat last command	.
Start visual mode, mark lines, then do a command (like y-yank)	v
Start linewise visual mode	V
Move to other end of marked area	o
Start visual block mode	Ctrl + v
Move to other corner of block	O
Mark a word (in visual mode, not normal mode)	aw (iw to exclude punctuation)
select around block with () in visual mode	ab
mark a block with {} in visual mode	aB
select inner block with () in visual mode	ib
Select inner block with {} in visual mode	iB
Exit visual mode	Esc
Shift text right	&gt;
Shift text left	&lt;
Yank (copy) marked text	y
Delete marked text	d
Switch case	~
Show registers content	:reg
Yank into register x	"""xy"
Paste contents of register x	"""xp"
List of marks	:marks
Set current position for mark A	ma
Jump to position of mark A	'a
Yank text to position of mark A	y'a
Record macro a	qa
Stop recording macro	q
Run macro a	@a
Rerun last run macro	@@
Yank (copy) a line	yy
Yank (copy) 2 lines	2yy
Yank (copy) the characters of the word from the cursor position to the start of the next word	yw
Yank (copy) to end of line	y$
Put (paste) the clipboard after cursor	p
Put (paste) before cursor	P
Delete (cut) a line	dd
Delete (cut) 2 lines	2dd
Delete (cut) the characters of the word from the cursor position to the start of the next word	dw
Delete (cut) to the end of the line	d$ or D
Delete (cut) character	x
Write (save) the file, but don't exit	:w
Write out the current file using sudo	:w !sudo tee %
Write (save) and quit	:wq or :x or ZZ
Quit (fails if there are unsaved changes)	:q
Quit and throw away unsaved changes	:q! or ZQ
Write (save) and quit on all tabs	:wqa
Search for a pattern	/pattern
Search backward for pattern	?pattern
'Very magic' pattern: non-alphanumeric characters are interpreted as special regex symbols (no escaping needed)	\vpattern
Repeat search in same direction	n
Repeat search in opposite direction	N
Replace all old with new throughout file	:%s/old/new/g
Replace all old with new throughout file with confirmations	:%s/old/new/gc
Remove highlighting of search &nbsp;matches	:noh
Search for pattern in multiple files	:vimgrep /pattern/ {file}
Jump to the next match (in vimgrep)	:cn
Jump to the previous match (in vimgrep)	:cp
Open a window containing the list of matches (in vimgrep)	:copen
Edit a file in a new buffer	:e file
Go to the next buffer	:bnext or :bn
Go to the previous buffer	:bprev or :bp
Delete a buffer (close a file)	:bd
List all open buffers	:ls
Open a file in a new buffer and split window	:sp file
Open a file in a new buffer and vertically split window	:vsp file
Split (current) window horizontally	Ctrl + ws
Switch windows (cycle through windows)	Ctrl + ww
Quit a window	Ctrl + wq
Split window vertically<br />	Ctrl + wv
Move cursor to the left window (vertical split)	Ctrl + wh
Move cursor to the right window (vertical split)	Ctrl + wl
Move cursor to the window below (horizontal split)	Ctrl + wj
Enter Replace mode (overwrite text until Esc)	R
Jump to older cursor position (back in jumplist)	Ctrl + o
Jump to newer cursor position (forward in jumplist)	Ctrl + i
Show file name and cursor position (line/col/%)	Ctrl + g
Run an external shell command	:!command
Read file FILENAME into current buffer below cursor	:r FILENAME
Read output of external command into buffer	:r !command
Write current buffer to a new filename (keep current buffer name)	:w FILENAME
Enable case-insensitive search	:set ic
Disable case-insensitive search	:set noic
Enable search result highlighting	:set hls
Disable search result highlighting	:set nohls
Enable incremental search	:set is
Disable incremental search	:set nois
On command-line, list possible completions for current command or argument	Ctrl + d
On command-line, cycle forward through completion matches	Tab
On command-line, cycle backward through completion matches	Shift + Tab
Open your vimrc / Neovim config file	:e $MYVIMRC
Insert contents of register x while in Insert mode	Ctrl + r then x
Insert result of an expression while in Insert mode	Ctrl + r then =
Which register always holds the last yank?	Register 0
Which registers hold the most recent whole-line deletions (dd)?	Registers 1–9
"&nbsp; &nbsp; To substitute phrases between two line #'s"	"&nbsp; &nbsp; &nbsp; &nbsp; :#,#s/old/new/g"
Write to &lt;filename&gt;	:w &lt;filename&gt;
How do you save only selected text to a file in Vim?	"<ol><li>Press <code>v</code> to enter visual mode</li>
<li>Move cursor to select text</li>
<li>Type <code>:w FILENAME</code></li>
</ol>
<div>(Results in <code>:'&lt;,'&gt;w FILENAME</code>)</div>"
How do you insert the output of a shell command into Vim?	"<div>
<code>:r !command</code></div>
<div>Example: <code>:r !ls</code> inserts the directory listing below the cursor.</div>"
Undo all changes on the current line	U
Jump to tag/hyperlink under cursor	Ctrl + ]
Pop tag (go back after jumping to tag)	Ctrl + t
Search all help pages for pattern	:helpgrep pattern
Help prefix for insert mode commands	i_ (e.g., :help i_CTRL-W)
Help prefix for visual mode commands	v_ (e.g., :help v_o)
Help prefix for command-line commands	c_ (e.g., :help c_CTRL-R)
Help prefix for ex-commands	: (e.g., :help :s)
Help format for options	"&#x27;option&#x27; with quotes (e.g., :help &#x27;list&#x27;)"
Help prefix for regex items	/ (e.g., :help /\+)
Help prefix for registers	quote (e.g., :help quote:)
Quickfix commands prefix vs location list prefix	:c for quickfix, :l for location list
Look up error code directly in help	:help E297 (or W10 for warnings)
Search forward for word under cursor	*
Search backward for word under cursor	"#"
Search forward for partial word under cursor	g*
Search backward for partial word under cursor	"g#"
Word boundary (end of word) in search pattern	\&gt;
Word boundary (start of word) in search pattern	\&lt;
Match beginning of line in search pattern	^
Match end of line in search pattern	$
Match any single character in search pattern	.
Escape special character in search pattern	\ before character
Jump back to line before last jump	"&#x27;&#x27; (two apostrophes)"
List all jump positions	:jumps
Jump to position when you last left file	`&quot;
Jump to position of last change	`. or '.
Set global mark A (works across files)	mA (uppercase)
Jump to global mark A	"&#x27;A or `A"
Delete character before cursor	X
Delete backward to start of word	db
Delete inner word (excluding whitespace)	diw
Delete a word (including whitespace)	daw
Delete to end of file	dG
Delete to start of file	dgg
Yank to end of word (no trailing space)	ye
Inner sentence text object	is (e.g., cis, dis)
