Less: Exit less.	q
Less: Display less help.	h H
Less: Page forward one window and set the window size.	z *
Less: Page backward one window and set the window size.	w *
Less: Follow a file like tail -f.	F
Less: Follow a file until a search match is found.	ESC-F
Less: Show only lines matching a pattern.	&pattern *
Less: Repeat the previous search across files.	ESC-n *
Less: Repeat the previous search across files in reverse.	ESC-N *
Less: Save the current input to a file.	s file
Less: Edit the current file in $VISUAL or $EDITOR.	v
Less: Show line numbers in less.	-N --LINE-NUMBERS
Less: Show a status column at the left edge.	-J --status-column
Less: Chop long lines instead of wrapping.	-S --chop-long-lines
Less: Set the horizontal scroll amount for chopped lines.	-# [N] --shift=[N]
Less: Ignore case in searches without uppercase.	-i --ignore-case
Less: Quit immediately if the file fits on one screen.	-F --quit-if-one-screen
Less: Quiet the terminal bell.	-q -Q --quiet --QUIET --silent --SILENT
Less: Preserve ANSI colors and other raw control chars.	-R --RAW-CONTROL-CHARS
Less: Don't clear the screen when less exits.	-X --no-init
Less: Start at the first match for a pattern.	-p pattern --pattern=[pattern]
Less: Squeeze multiple blank lines.	-s --squeeze-blank-lines
Less: Highlight the first unread line after paging forward.	-w --hilite-unread
